AGE,CAPITAL-LOSS,FNLWGT,EDUCATION,EDUCATION-NUM,MARITAL-STATUS,HOURS-PER-WEEK,RELATIONSHIP,RACE,SEX,CAPITAL-GAIN,CLASS
39,0,77516,9,13,3,40,4,1,2,2174,1
50,0,83311,9,13,1,13,3,1,2,0,1
38,0,215646,8,9,2,40,4,1,2,0,1
53,0,234721,6,7,1,40,3,4,2,0,1
28,0,338409,9,13,1,40,1,4,1,0,1
37,0,284582,11,14,1,40,1,1,1,0,1
49,0,160187,4,5,6,16,4,4,1,0,1
52,0,209642,8,9,1,45,3,1,2,0,0
31,0,45781,11,14,3,50,4,1,1,14084,0
42,0,159449,9,13,1,40,3,1,2,5178,0
37,0,280464,10,10,1,80,3,4,2,0,0
30,0,141297,9,13,1,40,3,2,2,0,0
23,0,122272,9,13,3,30,2,1,1,0,1
32,0,205019,13,12,3,50,4,4,2,0,1
40,0,121772,14,11,1,40,3,2,2,0,0
34,0,245487,3,4,1,45,3,3,2,0,1
25,0,176756,8,9,3,35,2,1,2,0,1
32,0,186824,8,9,3,40,6,1,2,0,1
38,0,28887,6,7,1,50,3,1,2,0,1
43,0,292175,11,14,2,45,6,1,1,0,0
40,0,193524,15,16,1,60,3,1,2,0,0
54,0,302146,8,9,4,20,6,4,1,0,1
35,0,76845,4,5,1,40,3,4,2,0,1
43,2042,117037,6,7,1,40,3,1,2,0,1
59,0,109015,8,9,2,40,6,1,1,0,1
56,0,216851,9,13,1,40,3,1,2,0,0
19,0,168294,8,9,3,40,2,1,2,0,1
54,0,180211,10,10,1,60,3,2,2,0,0
39,0,367260,8,9,2,80,4,1,2,0,1
49,0,193366,8,9,1,40,3,1,2,0,1
23,0,190709,13,12,3,52,4,1,2,0,1
20,0,266015,10,10,3,44,2,4,2,0,1
45,1408,386940,9,13,2,40,2,1,2,0,1
30,0,59951,10,10,1,40,2,1,2,0,1
22,0,311512,10,10,1,15,3,4,2,0,1
48,0,242406,6,7,3,40,6,1,2,0,1
21,0,197200,10,10,3,40,2,1,2,0,1
19,0,544091,8,9,7,25,1,1,1,0,1
31,0,84154,10,10,1,38,3,1,2,0,0
48,0,265477,13,12,1,40,3,1,2,0,1
31,0,507875,4,5,1,43,3,1,2,0,1
53,0,88506,9,13,1,40,3,1,2,0,1
24,0,172987,9,13,1,50,3,1,2,0,1
49,0,94638,8,9,4,40,6,1,1,0,1
25,0,289980,8,9,3,35,4,1,2,0,1
57,0,337895,9,13,1,40,3,4,2,0,0
53,0,144361,8,9,1,38,3,1,2,0,1
44,0,128354,11,14,2,40,6,1,1,0,1
41,0,101603,14,11,1,40,3,1,2,0,1
29,0,271466,14,11,3,43,4,1,2,0,1
25,0,32275,10,10,1,40,1,4,1,0,1
18,0,226956,8,9,3,30,2,1,1,0,1
47,1902,51835,12,15,1,60,1,1,1,0,0
50,0,251585,9,13,2,55,4,1,2,0,0
47,0,109832,8,9,2,60,4,1,2,0,1
43,0,237993,10,10,1,40,3,1,2,0,0
46,0,216666,2,3,1,40,3,1,2,0,1
35,0,56352,14,11,1,40,3,1,2,0,1
41,0,147372,8,9,1,48,3,1,2,0,1
30,0,188146,8,9,1,40,3,1,2,5013,1
30,0,59496,9,13,1,40,3,1,2,2407,1
32,0,293936,3,4,6,40,4,1,2,0,1
48,0,149640,8,9,1,40,3,1,2,0,1
42,0,116632,15,16,1,45,3,1,2,0,0
29,0,105598,10,10,2,58,4,1,2,0,1
36,0,155537,8,9,1,40,3,1,2,0,1
28,0,183175,10,10,2,40,4,1,1,0,1
53,0,169846,8,9,1,40,1,1,1,0,0
49,0,191681,10,10,1,50,3,1,2,0,0
25,0,200681,10,10,3,40,2,1,2,0,1
19,0,101509,10,10,3,32,2,1,2,0,1
31,0,309974,9,13,4,40,2,4,1,0,1
29,0,162298,9,13,1,70,3,1,2,0,0
23,0,211678,10,10,3,40,4,1,2,0,1
79,0,124744,10,10,1,20,5,1,2,0,1
27,0,213921,8,9,3,40,2,1,2,0,1
40,0,32214,13,12,1,40,3,1,2,0,1
67,0,212759,5,6,1,2,3,1,2,0,1
